,message,label
40,In other news after hassling me to get him weed for a week andres has no money. HAUGHAIGHGTUJHYGUJ,ham
41,Tmr then Ã¼ brin lar... Aiya later i come n c lar... Mayb Ã¼ neva set properly Ã¼ got da help sheet wif Ã¼...,ham
42,No message..no responce..what happend?,ham
43,Ãœ log off 4 wat. It's sdryb8i,ham
44,I will come with karnan car. Please wait till 6pm will directly goto doctor.,ham
45,"Orange customer, you may now claim your FREE CAMERA PHONE upgrade for your loyalty. Call now on 0207 153 9996. Offer ends 14thMarch. T&C's apply. Opt-out availa",spam
46,"Thank you. And by the way, I just lost.",ham
47,"Oops, I'll let you know when my roommate's done",ham
48,Maybe you should find something else to do instead???,ham
49,"I think your mentor is , but not 100 percent sure.",ham
50,But i juz remembered i gotta bathe my dog today..,ham
51,"Fighting with the world is easy, u either win or lose bt fightng with some1 who is close to u is dificult if u lose - u lose if u win - u still lose.",ham
52,U ned to convince him tht its not possible witot hurting his feeling its the main,ham
53,Well then you have a great weekend!,ham
54,Where are you ? What do you do ? How can you stand to be away from me ? Doesn't your heart ache without me ? Don't you wonder of me ? Don't you crave me ?,ham
55,"Cool, text me when you head out",ham
56,Yo sorry was in the shower sup,ham
57,<Forwarded from 21870000>Hi - this is your Mailbox Messaging SMS alert. You have 40 matches. Please call back on 09056242159 to retrieve your messages and matches cc100p/min,spam
58,Wat r u doing?,ham
59,Customer Loyalty Offer:The NEW Nokia6650 Mobile from ONLY Â£10 at TXTAUCTION! Txt word: START to No: 81151 & get yours Now! 4T&Ctxt TC 150p/MTmsg,spam
60,"Hi, Mobile no.  &lt;#&gt;  has added you in their contact list on www.fullonsms.com It s a great place to send free sms to people For more visit fullonsms.com",ham
61,Heehee that was so funny tho,ham
62,"""Response"" is one of d powerful weapon 2 occupy a place in others 'HEART'... So, always give response 2 who cares 4 U""... Gud night..swt dreams..take care",ham
63,I got a call from a landline number. . . I am asked to come to anna nagar . . . I will go in the afternoon,ham
64,Senthil group company Apnt 5pm.,ham
65,Boooo you always work. Just quit.,ham
66,"You have won ?1,000 cash or a ?2,000 prize! To claim, call09050000327. T&C: RSTM, SW7 3SS. 150ppm",spam
67,Dude just saw a parked car with its sunroof popped up. Sux,ham
68,Your gonna be the death if me. I'm gonna leave a note that says its all robs fault. Avenge me.,ham
69,Good Morning my Dear Shijutta........... Have a great &amp; successful day.,ham
70,Genius what's up. How your brother. Pls send his number to my skype.,ham
71,FREE UNLIMITED HARDCORE PORN direct 2 your mobile Txt PORN to 69200 & get FREE access for 24 hrs then chrgd@50p per day txt Stop 2exit. This msg is free,spam
72,"Faith makes things possible,Hope makes things work,Love makes things beautiful,May you have all three this Christmas!Merry Christmas!",ham
73,I re-met alex nichols from middle school and it turns out he's dealing!,ham
74,I AM AT THE GAS STATION. GO THERE.,ham
75,If you are not coughing then its nothing,ham
76,Boo I'm on my way to my moms. She's making tortilla soup. Yummmm,ham
77,I'm wif him now buying tix lar...,ham
78,"Motivate Behind every darkness, there is a shining light waiting for you to find it... Behind every best friend, there is always trust and love... BSLVYL",ham
79,"Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da.",ham
80,Ok... Let u noe when i leave my house.,ham
81,"Okies... I'll go yan jiu too... We can skip ard oso, go cine den go mrt one, blah blah blah... ",ham
82,Better. Made up for Friday and stuffed myself like a pig yesterday. Now I feel bleh. But at least its not writhing pain kind of bleh.,ham
83,Sorry da:)i was thought of calling you lot of times:)lil busy.i will call you at noon..,ham
84,What you doing?how are you?,ham
85,"Buzz! Hey, my Love ! I think of you and hope your day goes well. Did you sleep in ? I miss you babe. I long for the moment we are together again*loving smile*",ham
86,"Thanks for your ringtone order, ref number R836. Your mobile will be charged Â£4.50. Should your tone not arrive please call customer services on 09065069154",spam
87,Alex knows a guy who sells mids but he's down in south tampa and I don't think I could set it up before like 8,ham
88,Dear are you angry i was busy dear,ham
89,I'm home. Doc gave me pain meds says everything is fine.,ham
90,"The sign of maturity is not when we start saying big things.. But actually it is, when we start understanding small things... *HAVE A NICE EVENING* BSLVYL",ham
91,Becoz its  &lt;#&gt;  jan whn al the post ofice is in holiday so she cn go fr the post ofice...got it duffer,ham
92,we tried to contact you re your response to our offer of a new nokia fone and camcorder hit reply or call 08000930705 for delivery,spam
93,Anytime lor...,ham
94,Or just do that 6times,ham
95,Yup no more already... Thanx 4 printing n handing it up.,ham
96,Yesterday its with me only . Now am going home.,ham
97,Yeah get the unlimited,ham
98,You are a winner U have been specially selected 2 receive Â£1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810,spam
99,", ow u dey.i paid 60,400thousad.i told  u would call . ",ham
100,"Easy mate, * guess the quick drink was bit ambitious.",ham
101,And of course you should make a stink!,ham
102,Mm i had my food da from out,ham
103,No management puzzeles.,ham
104,Hey you gave them your photo when you registered for driving ah? Tmr wanna meet at yck? ,ham
105,EASTENDERS TV Quiz. What FLOWER does DOT compare herself to? D= VIOLET E= TULIP F= LILY txt D E or F to 84025 NOW 4 chance 2 WIN Â£100 Cash WKENT/150P16+,spam
106,This is wishing you a great day. Moji told me about your offer and as always i was speechless. You offer so easily to go to great lengths on my behalf and its stunning. My exam is next friday. After that i will keep in touch more. Sorry.,ham
107,"Hurry up, I've been weed-deficient for like three days",ham
108,SMS SERVICES For your inclusive text credits pls gotto www.comuk.net login 3qxj9 unsubscribe with STOP no extra charge help 08702840625 comuk.220cm2 9AE,spam
109,Free 1st week entry 2 TEXTPOD 4 a chance 2 win 40GB iPod or Â£250 cash every wk. Txt VPOD to 81303 Ts&Cs www.textpod.net custcare 08712405020.,spam
110,"""Happy valentines day"" I know its early but i have hundreds of handsomes and beauties to wish. So i thought to finish off aunties and uncles 1st...",ham
111,Where at were hungry too,ham
112,UR awarded a City Break and could WIN a Â£200 Summer Shopping spree every WK. Txt STORE to 88039 . SkilGme. TsCs087147403231Winawk!Age16 Â£1.50perWKsub,spam
113,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, Â£1.50 to rcv",spam
114,THANX4 TODAY CER IT WAS NICE 2 CATCH UP BUT WE AVE 2 FIND MORE TIME MORE OFTEN OH WELL TAKE CARE C U SOON.C,ham
115,Delhi and chennai still silent.,ham
116,Oh oh... Wasted... Den muz chiong on sat n sun liao...,ham
117,I think if he rule tamilnadu..then its very tough for our people.,ham
118,The message sent is askin for  &lt;#&gt; dollars. Shoul i pay  &lt;#&gt;  or  &lt;#&gt; ?,ham
119,"Sorry, I can't text &amp; drive coherently, see you in twenty",ham
120,Ok lor wat time Ã¼ finish?,ham
121,K.i will send in  &lt;#&gt;  min:),ham
122,Thats cool. i liked your photos. You are very sexy!,ham
123,"Haha, my legs and neck are killing me and my amigos are hoping to end the night with a burn, think I could swing by in like an hour?",ham
124,"My life Means a lot to me, Not because I love my life, But because I love the people in my life, The world calls them friends, I call them my World:-).. Ge:-)..",ham
125,7 lor... Change 2 suntec... Wat time u coming?,ham
126,I sent you  &lt;#&gt;  bucks,ham
127,"""Hey sorry I didntgive ya a a bellearlier hunny,just been in bedbut mite go 2 thepub l8tr if uwana mt up?loads a luv Jenxxx.""",ham
128,"Awesome, lemme know whenever you're around",ham
129,&lt;#&gt; ISH MINUTES WAS 5 MINUTES AGO. WTF.,ham
130,Cos darren say Ã¼ considering mah so i ask Ã¼...,ham
131,I can't believe how attached I am to seeing you every day. I know you will do the best you can to get to me babe. I will go to teach my class at your midnight,ham
132,Will Ã¼ b going to esplanade fr home?,ham
133,Hi im having the most relaxing time ever! we have to get up at 7am every day! was the party good the other night? I get home tomorrow at 5ish.,ham
134,"U've been selected to stay in 1 of 250 top British hotels - FOR NOTHING! Holiday valued at Â£350! Dial 08712300220 to claim - National Rate Call. Bx526, SW73SS",spam
135,"Haha... Sounds crazy, dunno can tahan anot...",ham
136,have * good weekend.,ham
137,Then any special there?,ham
138,What he said is not the matter. My mind saying some other matter is there.,ham
139,Dai i downloaded but there is only exe file which i can only run that exe after installing.,ham
140,I plane to give on this month end.,ham
141,Thank you princess! I want to see your nice juicy booty...,ham
142,Stupid.its not possible,ham
143,Sorry de i went to shop.,ham
144,The whole car appreciated the last two! Dad and are having a map reading semi argument but apart from that things are going ok. P.,ham
145,Wat makes some people dearer is not just de happiness dat u feel when u meet them but de pain u feel when u miss dem!!!,ham
146,"If e timing can, then i go w u lor...",ham
147,Ya but it cant display internal subs so i gotta extract them,ham
148,Reply to win Â£100 weekly! What professional sport does Tiger Woods play? Send STOP to 87239 to end service,spam
149,I am waiting machan. Call me once you free.,ham
150,Get down in gandhipuram and walk to cross cut road. Right side &lt;#&gt; street road and turn at first right.,ham
151,That sucks. So what do you got planned for your yo valentine? I am your yo valentine aren't I?,ham
152,Good Morning plz call me sir,ham
153,"1) Go to write msg 2) Put on Dictionary mode 3)Cover the screen with hand, 4)Press  &lt;#&gt; . 5)Gently remove Ur hand.. Its interesting..:)",ham
154,Happy new years melody!,ham
155,Then i buy.,ham
156,If you r @ home then come down within 5 min,ham
157,Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed Â£1000 cash or Â£5000 prize!,spam
158,Dear umma she called me now :-),ham
159,Men like shorter ladies. Gaze up into his eyes.,ham
160,"Your free ringtone is waiting to be collected. Simply text the password ""MIX"" to 85069 to verify. Get Usher and Britney. FML, PO Box 5249, MK17 92H. 450Ppw 16",spam
161,Jus finish my lunch on my way home lor... I tot u dun wan 2 stay in sch today...,ham
162,Hi dude hw r u da realy mising u today,ham
163,"We spend our days waiting for the ideal path to appear in front of us.. But what we forget is.. ""paths are made by walking.. not by waiting.."" Goodnight!",ham
164,I'm at bruce &amp; fowler now but I'm in my mom's car so I can't park (long story),ham
165,tap & spile at seven. * Is that pub on gas st off broad st by canal. Ok?,ham
166,I cant pick the phone right now. Pls send a message,ham
167,"Do you know why god created gap between your fingers..? So that, One who is made for you comes &amp; fills those gaps by holding your hand with LOVE..!",ham
168,We tried to contact you re your reply to our offer of a Video Handset? 750 anytime any networks mins? UNLIMITED TEXT? Camcorder? Reply or call 08000930705 NOW,spam
169,Well that must be a pain to catch,ham
170,"Sorry that took so long, omw now",ham
171,Remember to ask alex about his pizza,ham
172,Ur TONEXS subscription has been renewed and you have been charged Â£4.50. You can choose 10 more polys this month. www.clubzed.co.uk *BILLING MSG*,spam
173,Must come later.. I normally bathe him in da afternoon mah..,ham
174,Did u fix the teeth?if not do it asap.ok take care.,ham
175,Yup he msg me: is tat yijue? Then i tot it's my group mate cos we meeting today mah... I'm askin if Ã¼ leaving earlier or wat mah cos mayb Ã¼ haf to walk v far...,ham
176,"Thanks for your Ringtone Order, Reference T91. You will be charged GBP 4 per week. You can unsubscribe at anytime by calling customer services on 09057039994",spam
177,Someone U know has asked our dating service 2 contact you! Cant Guess who? CALL 09058091854 NOW all will be revealed. PO BOX385 M6 6WU,spam
178,Well i know Z will take care of me. So no worries.,ham
179,"accordingly. I repeat, just text the word ok on your mobile phone and send",spam
180,Ãœ come lt 25 n pass to me lar,ham
181,Nite nite pocay wocay luv u more than n e thing 4eva I promise ring u 2morrowxxxx,ham
182,Haha... Really oh no... How? Then will they deduct your lesson tmr?,ham
183,I want snow. It's just freezing and windy.,ham
184,"Shop till u Drop, IS IT YOU, either 10K, 5K, Â£500 Cash or Â£100 Travel voucher, Call now, 09064011000. NTT PO Box CR01327BT fixedline Cost 150ppm mobile vary",spam
185,Can you let me know details of fri when u find out cos I'm not in tom or fri. mentionned chinese. Thanks,ham
186,"Hi this is yijue, can i meet u at 11 tmr?",ham
187,....photoshop makes my computer shut down.,ham
188,PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08715203652 Identifier Code: 42810 Expires 29/10/0,spam
189,Keep yourself safe for me because I need you and I miss you already and I envy everyone that see's you in real life,ham
190,Webpage s not available!,ham
191,What i mean is do they come chase you out when its over or is it stated you can watch as many movies as you want.,ham
192,Buy one egg for me da..please:),ham
193,"In case you wake up wondering where I am, I forgot I have to take care of something for grandma today, should be done before the parade",ham
194,Pls ask macho how much is budget for bb bold 2 is cos i saw a new one for  &lt;#&gt;  dollars.,ham
195,here is my new address -apples&pairs&all that malarky,ham
196,I got your back! Do you have any dislikes in bed?,ham
197,Your unique user ID is 1172. For removal send STOP to 87239 customer services 08708034412,spam
198,K then 2marrow are you coming to class.,ham
199,Your dad is back in ph?,ham
200,Just buy a pizza. Meat lovers or supreme. U get to pick.,ham
201,Oops my phone died and I didn't even know. Yeah I like it better.,ham
202,You'll never believe this but i have actually got off at taunton. Wow,ham
203,You best watch what you say cause I get drunk as a motherfucker,ham
204,"I think Iâ€˜m waiting for the same bus! Inform me when you get there, if you ever get there.",ham
205,"Babe! How goes that day ? What are you up to ? I miss you already, my Love ... * loving kiss* ... I hope everything goes well.",ham
206,"Mila, age23, blonde, new in UK. I look sex with UK guys. if u like fun with me. Text MTALK to 69866.18 . 30pp/txt 1st 5free. Â£1.50 increments. Help08718728876",spam
207,Yeah we do totes. When u wanna?,ham
208,"yeah, that's what I was thinking",ham
209,Call Germany for only 1 pence per minute! Call from a fixed line via access number 0844 861 85 85. No prepayment. Direct access!,spam
210,Mm i am on the way to railway,ham
211,The evo. I just had to download flash. Jealous?,ham
212,Urgent! Please call 09061743811 from landline. Your ABTA complimentary 4* Tenerife Holiday or Â£5000 cash await collection SAE T&Cs Box 326 CW25WX 150ppm,spam
213,Kinda. First one gets in at twelve! Aah. Speak tomo,ham
214,"Hey babe, sorry i didn't get sooner. Gary can come and fix it cause he thinks he knows what it is but he doesn't go as far a Ptbo and he says it will cost  &lt;#&gt;  bucks. I don't know if it might be cheaper to find someone there ? We don't have any second hand machines at all right now, let me know what you want to do babe",ham
215,Just getting back home,ham
216,Early bird! Any purchases yet?,ham
217,ROMCAPspam Everyone around should be responding well to your presence since you are so warm and outgoing. You are bringing in a real breath of sunshine.,spam
218,Nobody names their penis a girls name this story doesn't add up at all,ham
219,Got smaller capacity one? Quite ex...,ham
220,Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p,spam
221,Today is ACCEPT DAY..U Accept me as? Brother Sister Lover Dear1 Best1 Clos1 Lvblefrnd Jstfrnd Cutefrnd Lifpartnr Belovd Swtheart Bstfrnd No rply means enemy,ham
222,S:)s.nervous  &lt;#&gt; :),ham
223,Thats cool. i am a gentleman and will treat you with dignity and respect.,ham
224,"swhrt how u dey,hope ur ok, tot about u 2day.love n miss.take care.",ham
225,I cant pick the phone right now. Pls send a message,ham
226,Ok... Then r we meeting later?,ham
227,Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.,ham
228,"Congrats! 2 mobile 3G Videophones R yours. call 09061744553 now! videochat wid ur mates, play java games, Dload polyH music, noline rentl. bx420. ip4. 5we. 150pm",spam
229,Prabha..i'm soryda..realy..frm heart i'm sory,ham
230,"Update_Now - Xmas Offer! Latest Motorola, SonyEricsson & Nokia & FREE Bluetooth! Double Mins & 1000 Txt on Orange. Call MobileUpd8 on 08000839402 or call2optout/F4Q=",spam
231,Ok not a problem will get them a taxi. C ing  tomorrow and tuesday. On tuesday think we r all going to the cinema. ,ham
232,Let me know when you've got the money so carlos can make the call,ham
233,"You at mu? You should try to figure out how much money everyone has for gas and alcohol, jay and I are trying to figure out our weed budget",ham
234,Lmao you know me so well...,ham
235,Okey dokey swashbuckling stuff what oh.,ham
236,Oh god..taken the teeth?is it paining,ham
237,"I want to show you the world, princess :) how about europe?",ham
238,Santa calling! Would your little ones like a call from Santa Xmas Eve? Call 09077818151 to book you time. Calls1.50ppm last 3mins 30s T&C www.santacalling.com,spam
239,"Open rebtel with firefox. When it loads just put plus sign in the user name place, and it will show you two numbers. The lower number is my number. Once you pick that number the pin will display okay!",ham
240,Are you planning to come chennai?,ham
241,What time do u get out?,ham
242,Your pussy is perfect!,ham
243,"Sure, whenever you show the fuck up &gt;:(",ham
244,"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?",ham
245,Then why no one talking to me,ham
246,You've always been the brainy one.,ham
247,"I wonder if your phone battery went dead ? I had to tell you, I love you babe",ham
248,Thanx a lot 4 ur help!,ham
249,Yep then is fine 7.30 or 8.30 for ice age.,ham
250,Ãœ still attending da talks?,ham
251,Its sarcasm.. .nt scarcasim,ham
252,Ugh fuck it I'm resubbing to eve,ham
253,Midnight at the earliest,ham
254,Hey... What time is your driving on fri? We go for evaluation on fri?,ham
255,Yes its possible but dint try. Pls dont tell to any one k,ham
256,"Goodmorning, today i am late for  &lt;DECIMAL&gt; min.",ham
257,This message is free. Welcome to the new & improved Sex & Dogging club! To unsubscribe from this service reply STOP. msgs@150p 18+only,spam
258,"Fantasy Football is back on your TV. Go to Sky Gamestar on Sky Active and play Â£250k Dream Team. Scoring starts on Saturday, so register now!SKY OPT OUT to 88088",spam
259,Hiya. How was last night? I've been naughty and bought myself clothes and very little ... Ready for more shopping tho! What kind of time do you wanna meet?,ham
260,Did you stitch his trouser,ham
261,Still i have not checked it da. . .,ham
262,Once free call me sir.,ham
263,Lol I was gonna last month. I cashed some in but I left &lt;#&gt; just in case. I was collecting more during the week cause they announced it on the blog.,ham
264,"Good morning, my Love ... I go to sleep now and wish you a great day full of feeling better and opportunity ... You are my last thought babe, I LOVE YOU *kiss*",ham
265,A Â£400 XMAS REWARD IS WAITING FOR YOU! Our computer has randomly picked you from our loyal mobile customers to receive a Â£400 reward. Just call 09066380611 ,spam
266,Lol your right. What diet? Everyday I cheat anyway. I'm meant to be a fatty :(,ham
267,Ay wana meet on sat?Ã¼ wkg on sat?,ham
268,"LookAtMe!: Thanks for your purchase of a video clip from LookAtMe!, you've been charged 35p. Think you can do better? Why not send a video in a MMSto 32323.",spam
269,&lt;#&gt;  am I think? Should say on syllabus,ham
270,Have you heard about that job? I'm going to that wildlife talk again tonight if u want2come. Its that2worzels and a wizzle or whatever it is?! ,ham
271,Oh is it! Which brand?,ham
272,"whatever, im pretty pissed off.",ham
273,Hi :)finally i completed the course:),ham
274,Ahhh. Work. I vaguely remember that! What does it feel like? Lol,ham
275,"Don't Think About ""What u Have Got"" Think About ""How to Use It That You Have Got"" gooD ni8",ham
276,I like cheap! But iâ€˜m happy to splash out on the wine if it makes you feel better..,ham
277,You need to get up. Now.,ham
278,Do u noe wat time e place dat sells 4d closes?,ham
279,"I've got  &lt;#&gt; , any way I could pick up?",ham
280,"Okay. No no, just shining on. That was meant to be signing, but that sounds better.",ham
281,Will be office around 4 pm. Now i am going hospital.,ham
282,When did you get to the library,ham
283,Dunno cos i was v late n when i reach they inside already... But we ate spageddies lor... It's e gals who r laughing at me lor...,ham
284,"Ugh y can't u just apologize, admit u were wrong and ask me to take u back?",ham
285,87077: Kick off a new season with 2wks FREE goals & news to ur mobile! Txt ur club name to 87077 eg VILLA to 87077,spam
286,So when do you wanna gym?,ham
287,"Evening * v good if somewhat event laden. Will fill you in, don't you worry â€¦ Head * ok but throat * wrecked. See you at six then!",ham
288,Hey! Congrats 2u2. id luv 2 but ive had 2 go home!,ham
289,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info",spam
290,Once free call me sir. I am waiting for you.,ham
291,He telling not to tell any one. If so treat for me hi hi hi,ham
292,Please CALL 08712402578 immediately as there is an urgent message waiting for you,spam
293,Miss call miss call khelate kintu opponenter miss call dhorte lage. Thats d rule. One with great phone receiving quality wins.,ham
294,Squeeeeeze!! This is christmas hug.. If u lik my frndshp den hug me back.. If u get 3 u r cute:) 6 u r luvd:* 9 u r so lucky;) None? People hate u:,ham
295,Aiyo u so poor thing... Then u dun wan 2 eat? U bathe already?,ham
296,Happy new year to u too!,ham
297,Hi neva worry bout da truth coz the truth will lead me 2 ur heart. ItÂ’s the least a unique person like u deserve. Sleep tight or morning,ham
298,U have a Secret Admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09065171142-stopsms-08,spam
299,"I'm an actor. When i work, i work in the evening and sleep late. Since i'm unemployed at the moment, i ALWAYS sleep late. When you're unemployed, every day is saturday.",ham
300,You will be in the place of that man,ham
301,Hi happy birthday. Hi hi hi hi hi hi hi,ham
302,Gud mrng dear hav a nice day,ham
303,Jos ask if u wana meet up?,ham
304,"Probably, want to pick up more?",ham
305,"""Hi its Kate it was lovely to see you tonight and ill phone you tomorrow. I got to sing and a guy gave me his card! xxx""",ham
306,December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update Co FREE on 08002986906,spam
307,No dear i was sleeping :-P,ham
308,Are u awake? Is there snow there?,ham
309,Not heard from U4 a while. Call 4 rude chat private line 01223585334 to cum. Wan 2C pics of me gettin shagged then text PIX to 8552. 2End send STOP 8552 SAM xxx,spam
310,Mmmm ... Fuck ... Not fair ! You know my weaknesses ! *grins* *pushes you to your knee's* *exposes my belly and pulls your head to it* Don't forget ... I know yours too *wicked smile*,ham
311,Congrats. That's great. I wanted to tell you not to tell me your score cos it might make me relax. But its motivating me so thanks for sharing,ham
312,"Especially since i talk about boston all up in my personal statement, lol! I woulda changed that if i had realized it said nyc! It says boston now.",ham
313,"Hey...Great deal...Farm tour 9am to 5pm $95/pax, $50 deposit by 16 May",ham
314,Yes. It's all innocent fun. O:-),ham
315,U're welcome... Caught u using broken english again...,ham
316,URGENT! We are trying to contact U. Todays draw shows that you have won a Â£800 prize GUARANTEED. Call 09050001295 from land line. Claim A21. Valid 12hrs only,spam
317,Promotion Number: 8714714 - UR awarded a City Break and could WIN a Â£200 Summer Shopping spree every WK. Txt STORE to 88039 . SkilGme. TsCs087147403231Winawk!Age16 Â£1.50perWKsub,spam
318,"Velly good, yes please!",ham
319,Ha... Then we must walk to everywhere... Cannot take tram. My cousin said can walk to vic market from our hotel ,ham
320,You give us back my id proof and  &lt;#&gt;  rs. We wont allow you to work. We will come to your home within days,ham
321,"Nah, I'm a perpetual DD",ham
322,So no messages. Had food?,ham
323,When i have stuff to sell i.ll tell you,ham
324,"He has lots of used ones babe, but the model doesn't help. Youi have to bring it over and he'll match it up",ham
325,XMAS iscoming & ur awarded either Â£500 CD gift vouchers & free entry 2 r Â£100 weekly draw txt MUSIC to 87066 TnC www.Ldew.com1win150ppmx3age16subscription ,spam
326,"Argh my 3g is spotty, anyway the only thing I remember from the research we did was that province and sterling were the only problem-free places we looked at",ham
327,Oh sorry please its over,ham
328,Ok.ok ok..then..whats ur todays plan,ham
329,Yes:)here tv is always available in work place..,ham
330,"Xmas Offer! Latest Motorola, SonyEricsson & Nokia & FREE Bluetooth or DVD! Double Mins & 1000 Txt on Orange. Call MobileUpd8 on 08000839402 or call2optout/4QF2",spam
331,Please CALL 08712402779 immediately as there is an urgent message waiting for you,spam
332,Hope you enjoyed your new content. text stop to 61610 to unsubscribe. help:08712400602450p Provided by tones2you.co.uk,spam
333,My house here e sky quite dark liao... If raining then got excuse not 2 run already rite... Hee...,ham
334,You are a great role model. You are giving so much and i really wish each day for a miracle but God as a reason for everything and i must say i wish i knew why but i dont. I've looked up to you since i was young and i still do. Have a great day.,ham
335,"Good stuff, will do.",ham
336,TaKe CaRE n gET WeLL sOOn,ham
337,"It's fine, imma get a drink or somethin. Want me to come find you?",ham
338,Ok ill send you with in  &lt;DECIMAL&gt;  ok.,ham
339,Just now saw your message.it k da:),ham
340,"Nah man, my car is meant to be crammed full of people",ham
341,Free 1st week entry 2 TEXTPOD 4 a chance 2 win 40GB iPod or Â£250 cash every wk. Txt POD to 84128 Ts&Cs www.textpod.net custcare 08712405020.,spam
342,Free entry in 2 a weekly comp for a chance to win an ipod. Txt POD to 80182 to get entry (std txt rate) T&C's apply 08452810073 for details 18+,spam
343,"Me, i dont know again oh",ham
344,Prepare to be pleasured :),ham
345,"Ela kano.,il download, come wen ur free..",ham
346,"Yeah why not, is the gang all ready",ham
347,"""Im at arestaurant eating squid! i will be out about 10:30 wanna dosomething or is that to late?""",ham
348,26th OF JULY,ham
349,I don't know u and u don't know me. Send CHAT to 86688 now and let's find each other! Only 150p/Msg rcvd. HG/Suite342/2Lands/Row/W1J6HL LDN. 18 years or over.,spam
350,Love it! I want to flood that pretty pussy with cum...,ham
351,"Watching cartoon, listening music &amp; at eve had to go temple &amp; church.. What about u?",ham
352,Santa Calling! Would your little ones like a call from Santa Xmas eve? Call 09058094583 to book your time.,spam
